# Метеостанция Астана, Казахстан, WMO_ID=35188, выборка с 15.05.2025 по 22.05.2025, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
16.05.2025 05:00;21,2;728,6;758,5;0,7;52;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;11,0;;;;;;
16.05.2025 02:00;25,9;727,9;757,3;-1,2;37;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;600-1000;;;;9,9;;;;;;
15.05.2025 23:00;27,2;729,1;758,4;0,9;32;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;35,8;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;9,3;;;;;;
15.05.2025 20:00;31,3;728,2;757,0;-0,3;25;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;35,8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;9,2;;;;;;
15.05.2025 17:00;34,2;728,5;757,0;-0,4;21;Ветер, дующий с юго-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;4,0;8,7;;;;;;
15.05.2025 14:00;34,3;728,9;757,5;-1,1;21;Ветер, дующий с юга;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;8,9;;;;;;
15.05.2025 11:00;29,5;730,0;759,1;0,0;29;Ветер, дующий с юга;1;;;60%.; ;;;15,9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;9,4;;;;;;
15.05.2025 08:00;21,5;730,0;759,9;0,4;54;Ветер, дующий с юго-юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4,0;11,8;;;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;13,0;;
15.05.2025 05:00;16,3;729,6;760,0;0,9;68;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;4,0;10,3;;;;;;
15.05.2025 02:00;19,3;728,7;758,8;0,1;65;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;12,4;;;;;;
